nome,pact
Santa Margarida,A
Santa Maria de Itabira,A
Santa Maria do Salto,A
Santa Maria do Suaçuí,A
Santa Rita de Caldas,B
Santa Rita de Ibitipoca,A
Santa Rita de Jacutinga,B
Santa Rita de Minas,B
Santa Rita do Itueto,A
Santa Rita do Sapucaí,C
Santa Rosa da Serra,B
Santa Vitória,B
Santana da Vargem,A
Santana de Cataguases,B
Santana de Pirapama,A
Santana do Deserto,A
Santana do Garambéu,A
Santana do Jacaré,B
Santana do Manhuaçu,B
Santana do Paraíso,B
Santana do Riacho,A
Santana dos Montes,B
Santo Antônio do Amparo,B
Santo Antônio do Aventureiro,B
Santo Antônio do Grama,A
Santo Antônio do Itambé,A
Santo Antônio do Jacinto,A
Santo Antônio do Monte,B
Santo Antônio do Retiro,B
Santo Antônio do Rio Abaixo,A
Santo Hipólito,A
Santos Dumont,B
São Bento Abade,A
São Brás do Suaçuí,A
São Domingos das Dores,A
São Domingos do Prata,B
São Félix de Minas,A
São Francisco,B
São Francisco de Paula,B
São Francisco de Sales,A
São Francisco do Glória,A
São Geraldo,A
São Geraldo da Piedade,A
São Geraldo do Baixio,A
São Gonçalo do Abaeté,B
São Gonçalo do Pará,B
São Gonçalo do Rio Abaixo,B
São Gonçalo do Rio Preto,B
São Gonçalo do Sapucaí,B
São Gotardo,C
São João Batista do glória,B
São João da Lagoa,B
São João da Mata,B
São João da Ponte,B
São João das Missões,A
São João Del Rei,B
São João do Manhuaçu,B
São João do Manteninha,A
São João do Oriente,A
São João do Pacuí,B
São João do Paraíso,B
São João Evangelista,A
São João Nepomuceno,B
São Joaquim de Bicas,B
São José da Barra,A
São José da Lapa,B
São José da Safira,A
São José da Varginha,B
São José do Alegre,B
São José do Divino,A
São José do Goiabal,A
São José do Jacuri,A
São José do Mantimento,A
São Lourenço,C
São Miguel do Anta,A
São Pedro da União,B
São Pedro do Suaçuí,A
São Pedro dos Ferros,A
São Romão,B
São Roque de Minas,B
São Sebastião da Bela Vista,B
São Sebastião da Vargem Alegre,A
São Sebastião do Anta,A
São Sebastião do Maranhão,A
São Sebastião do Oeste,B
São Sebastião do Paraíso,C
São Sebastião do Rio Preto,A
São Sebastião do Rio Verde,A
São Tiago,A
São Tomás de Aquino,A
São Tomé das Letras,B
São Vicente de Minas,B
Sapucaí-Mirim,B
Sardoá,A
Sarzedo,B
Sem-Peixe,A
Senador Amaral,B
Senador Cortes,A
Senador Firmino,A
Senador José Bento,B
Senador Modestino Gonçalves,B
Senhora de Oliveira,B
Senhora do Porto,A
Senhora dos Remédios,B
Sericita,A
Seritinga,A
Serra Azul de Minas,B
Serra da Saudade,B
Serra do Salitre,B
Serra dos Aimorés,A
Serrania,B
Serranópolis de Minas,B
Serranos,B
Serro,B
Sete Lagoas,C
Setubinha,A
Silveirânia,A
Silvianópolis,B
Simão Pereira,A
Simonésia,B
Sobrália,A
Soledade de Minas,A
Tabuleiro,A
Taiobeiras,C
Taparuba,A
Tapira,A
Tapiraí,B
Taquaraçu de Minas,A
Tarumirim,A
Teixeiras,A
Teófilo Otoni,C
Timóteo,B
Tiradentes,B
Tiros,B
Tocantins,A
Tocos do Moji,B
Toledo,B
Tombos,A
Três Corações,C
Três Marias,B
Três Pontas,C
Tumiritinga,A
Tupaciguara,B
Turmalina,A
Turvolândia,B
Ubá,C
Ubaí,A
Ubaporanga,A
Uberaba,C
Uberlândia,C
Umburatiba,A
Unaí,B
União de Minas,A
Uruana de Minas,B
Urucânia,A
Urucuia,B
Vargem Alegre,A
Vargem Bonita,A
Vargem Grande do Rio Pardo,B
Varginha,C
Varjão de Minas,B
Várzea da Palma,B
Varzelândia,A
Vazante,B
Verdelândia,B
Veredinha,A
Veríssimo,A
Vermelho Novo,A
Vespasiano,C
Viçosa,B
Vieiras,A
Virgem da Lapa,A
Virgínia,A
Virginópolis,A
Virgolândia,B
Visconde do Rio Branco,C
Volta Grande,A
Wenceslau Braz,B
